"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://unityverseacademy.com/blog-detay/basari-hikâyesi-melike-cetinin-lc-waikikideki-doku-kaplama-ve-desen-tasarimi-yolculugu-105/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","","132","","https://unityverseacademy.com/blog-detay/basari-hik%C3%A2yesi-melike-cetinin-lc-waikikideki-doku-kaplama-ve-desen-tasarimi-yolculugu-105/"
"https://unityverseacademy.com/blog-detay/basari-hikâyesi-gokce-yilmaz-barunun-shopcutebutcreepy-markasiyla-girisimcilik-yolculugu-109/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","","134","","https://unityverseacademy.com/blog-detay/basari-hik%C3%A2yesi-gokce-yilmaz-barunun-shopcutebutcreepy-markasiyla-girisimcilik-yolculugu-109/"
"https://unityverseacademy.com/blog-detay/basari-hikâyesi-gulsah-temelin-eczacibasindaki-3ds-max-tasarim-yolculugu-106/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","","118","","https://unityverseacademy.com/blog-detay/basari-hik%C3%A2yesi-gulsah-temelin-eczacibasindaki-3ds-max-tasarim-yolculugu-106/"
"https://unityverseacademy.com/blog-detay/basari-hikâyesi-buse-sahinoglunun-eczacibasindaki-3d-tasarim-yolculugu-107/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","","116","","https://unityverseacademy.com/blog-detay/basari-hik%C3%A2yesi-buse-sahinoglunun-eczacibasindaki-3d-tasarim-yolculugu-107/"
"https://unityverseacademy.com/blog-detay/unityverse-academy-mezunu-turgay-sefa-sarigedikin-basari-hikâyesi-313/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","","111","","https://unityverseacademy.com/blog-detay/unityverse-academy-mezunu-turgay-sefa-sarigedikin-basari-hik%C3%A2yesi-313/"
"https://unityverseacademy.com/uploads/fm/Kurucu_Eğitmen_Prof__Dr__Çetin_Kaya_Koç_pdf_13.jpg","image/jpeg","200","OK","Indexable","","","91","","https://unityverseacademy.com/uploads/fm/Kurucu_E%C4%9Fitmen_Prof__Dr__%C3%87etin_Kaya_Ko%C3%A7_pdf_13.jpg"
"https://unityverseacademy.com/urun/v-ray-ile-gercekci-ic-ve-dis-mekân-render-uretimi-egitimi-yuz-yuze-1622/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","","107","","https://unityverseacademy.com/urun/v-ray-ile-gercekci-ic-ve-dis-mek%C3%A2n-render-uretimi-egitimi-yuz-yuze-1622/"
"https://unityverseacademy.com/uploads/p/p/sketchupta-mimari-ve-ic-mekân-modelleme-egitimi-uygulamali-online_1.jpg?v=1766155098","image/jpeg","200","OK","Indexable","","","126","","https://unityverseacademy.com/uploads/p/p/sketchupta-mimari-ve-ic-mek%C3%A2n-modelleme-egitimi-uygulamali-online_1.jpg?v=1766155098"
"https://unityverseacademy.com/uploads/fm/FEYYAZ_AĞIRMAN_CV_TR.pdf","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","","66","","https://unityverseacademy.com/uploads/fm/FEYYAZ_AG%CC%86IRMAN_CV_TR.pdf"
"https://unityverseacademy.com/uploads/fm/OYUN_ÖRNEK_SERTİFİKA25.jpg","image/jpeg","200","OK","Indexable","","","70","","https://unityverseacademy.com/uploads/fm/OYUN_O%CC%88RNEK_SERTI%CC%87FI%CC%87KA25.jpg"
"https://unityverseacademy.com/uploads/fm/dijital_oyun_geliştirme_(1)26.jpg","image/jpeg","200","OK","Indexable","","","74","","https://unityverseacademy.com/uploads/fm/dijital_oyun_geli%C5%9Ftirme_(1)26.jpg"
