"Address","Title 1","Occurrences","HTML hreflang 1","HTML hreflang 1 URL","HTTP hreflang 1","HTTP hreflang 1 URL","Sitemap hreflang 1","Sitemap hreflang 1 URL","Indexability","Indexability Status"
"https://unityverseacademy.com/","En İyi Staj Garantili Yazılım, Oyun ve Tasarım Kursları","0","","","","","","","Indexable",""
"https://unityverseacademy.com/kategori/animasyon-egitimleri-248/","Animasyon Eğitimleri","0","","","","","","","Indexable",""
"https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi-584/","Autodesk Fusion 360 Endüstriyel Ürün Tasarımı Uzmanlığı Canlı (Online) Eğitimi","0","","","","","","","Indexable",""
"https://unityverseacademy.com/urun/desinatorluk-canli-online-egitimi-563/","Desinatörlük & Desen Tasarım Kursu | Online","0","","","","","","","Indexable",""
"https://unityverseacademy.com/sayfa/iptal-ve-iade-kosullari-28/","İptal ve İade Koşulları","0","","","","","","","Indexable",""
"https://unityverseacademy.com/kategori/oyun-gelistirme-egitimleri-244/","Oyun Geliştirme Eğitimleri","0","","","","","","","Indexable",""
"https://unityverseacademy.com/sayfa/uyelik-sozlesmesi-ve-gizlilik-politikasi-27/","Üyelik Sözleşmesi ve Gizlilik Politikası","0","","","","","","","Indexable",""
"https://unityverseacademy.com/urun/unity-ile-oyun-gelistirme-canli-online-egitimi-staj-garantili-17/","Unity Oyun Geliştirme Kursu Online | Staj Garantili","0","","","","","","","Indexable",""
"https://unityverseacademy.com/kategori/mimarlik-egitimleri-259/","Mimarlık Eğitimleri","0","","","","","","","Indexable",""
"https://unityverseacademy.com/sayfa/hakkimizda-25/","Hakkımızda","0","","","","","","","Indexable",""
"https://unityverseacademy.com/blog-detay/suleyman-ozgonul-oyun-gelistiricilikte-zirveye-giden-yol-129/","Süleyman Özgönül: Oyun Geliştiricilikte Zirveye Giden Yol","0","","","","","","","Indexable",""
"https://unityverseacademy.com/urun/profesyonel-3b-modelleme-dijital-sanat-programi-online-1/","Profesyonel 3D Modelleme Kursu Online | 3D Artist","0","","","","","","","Indexable",""
"https://unityverseacademy.com/kategori/mimarlik-egitimleri-ozel-ders-274/","Mimarlık Eğitimleri Özel Ders","0","","","","","","","Indexable",""
"https://unityverseacademy.com/blog-detay/filiz-tumuklunun-yazilim-test-otomasyonu-egitimi-ve-kariyer-basarisi-90/","Filiz Tümüklü’nün Yazılım Test Otomasyonu Eğitimi ve Kariyer Başarısı","0","","","","","","","Indexable",""
"https://unityverseacademy.com/kategori/dijital-pazarlama-egitimleri-255/","Dijital Pazarlama Eğitimleri","0","","","","","","","Indexable",""
"https://unityverseacademy.com/kategori/ozel-dersler-256/","Özel Dersler","0","","","","","","","Indexable",""
"https://unityverseacademy.com/urun/2b-cizgi-film-ve-animasyon-uzmanligi-canli-online-egitimi-565/","2B Çizgi Film ve Animasyon Uzmanlığı Canlı (Online) Eğitimi","0","","","","","","","Indexable",""
"https://unityverseacademy.com/os/KARIYER-14/","KARIYER iŞ","0","","","","","","","Non-Indexable","Canonicalised"
"https://unityverseacademy.com/blog-detay/burak-ercayanin-yazilim-test-otomasyonu-egitimi-ve-testiniumdaki-isi-88/","Burak Erçayan’ın Yazılım Test Otomasyonu Eğitimi ve Testinium’daki İşi","0","","","","","","","Indexable",""
"https://unityverseacademy.com/sayfa/kisisel-verilerin-korunmasi-hakkinda-aydinlatma-bildirimi-29/","Kişisel Verilerin Korunması Hakkında Aydınlatma Bildirimi","0","","","","","","","Indexable",""
"https://unityverseacademy.com/blog-detay/elif-arslanin-yazilim-gelistirici-olarak-ayakkabi-dunyasindaki-baslangici-94/","Elif Arslan'ın Yazılım Geliştirici Olarak Ayakkabı Dünyası'ndaki Başlangıcı","0","","","","","","","Indexable",""
"https://unityverseacademy.com/kategori/muhasebe-ve-ofis-egitimleri-258/","Muhasebe ve Ofis Eğitimleri","0","","","","","","","Indexable",""
"https://unityverseacademy.com/blog-detay/oguzhan-durakin-grafik-tasarim-ve-video-kurgu-alanindaki-yolculugu-100/","Oğuzhan Durak'ın Grafik Tasarım ve Video Kurgu Alanındaki Yolculuğu","0","","","","","","","Indexable",""
"https://unityverseacademy.com/sayfa/mesafeli-satis-sozlesmesi-26/","Mesafeli Satış Sözleşmesi","0","","","","","","","Indexable",""
"https://unityverseacademy.com/urun/2b-oyun-karakter-tasarimi-ve-animasyon-canli-online-egitimi-553/","2B Oyun Karakter Tasarımı ve Animasyon Canlı (Online) Eğitimi","0","","","","","","","Indexable",""
"https://unityverseacademy.com/blog-detay/berkay-kurt-multiplayer-oyun-gelistiriciliginde-bir-yildiz-130/","Berkay Kurt: Multiplayer Oyun Geliştiriciliğinde Bir Yıldız","0","","","","","","","Indexable",""
"https://unityverseacademy.com/blog-detay/fatih-yilmazin-yazilim-yolculugu-ve-lufthansadaki-basarisi-91/","Fatih Yılmaz’ın Yazılım Yolculuğu ve Lufthansa’daki Başarısı","0","","","","","","","Indexable",""
