"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://unityverseacademy.com/","1","Indexable","","https://unityverseacademy.com/","","","","","","",""
"https://unityverseacademy.com/kategori/animasyon-egitimleri-248/","1","Indexable","","https://unityverseacademy.com/kategori/animasyon-egitimleri-248/","","","","","","",""
"https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi-584/","1","Indexable","","https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi-584/","","","","","","",""
"https://unityverseacademy.com/urun/desinatorluk-canli-online-egitimi-563/","1","Indexable","","https://unityverseacademy.com/urun/desinatorluk-canli-online-egitimi-563/","","","","","","",""
"https://unityverseacademy.com/sayfa/iptal-ve-iade-kosullari-28/","1","Indexable","","https://unityverseacademy.com/sayfa/iptal-ve-iade-kosullari-28/","","","","","","",""
"https://unityverseacademy.com/kategori/oyun-gelistirme-egitimleri-244/","1","Indexable","","https://unityverseacademy.com/kategori/oyun-gelistirme-egitimleri-244/","","","","","","",""
"https://unityverseacademy.com/sayfa/uyelik-sozlesmesi-ve-gizlilik-politikasi-27/","1","Indexable","","https://unityverseacademy.com/sayfa/uyelik-sozlesmesi-ve-gizlilik-politikasi-27/","","","","","","",""
"https://unityverseacademy.com/urun/unity-ile-oyun-gelistirme-canli-online-egitimi-staj-garantili-17/","1","Indexable","","https://unityverseacademy.com/urun/unity-ile-oyun-gelistirme-canli-online-egitimi-staj-garantili-17/","","","","","","",""
"https://unityverseacademy.com/kategori/mimarlik-egitimleri-259/","1","Indexable","","https://unityverseacademy.com/kategori/mimarlik-egitimleri-259/","","","","","","",""
"https://unityverseacademy.com/sayfa/hakkimizda-25/","1","Indexable","","https://unityverseacademy.com/sayfa/hakkimizda-25/","","","","","","",""
"https://unityverseacademy.com/blog-detay/suleyman-ozgonul-oyun-gelistiricilikte-zirveye-giden-yol-129/","1","Indexable","","https://unityverseacademy.com/blog-detay/suleyman-ozgonul-oyun-gelistiricilikte-zirveye-giden-yol-129/","","","","","","",""
"https://unityverseacademy.com/urun/profesyonel-3b-modelleme-dijital-sanat-programi-online-1/","1","Indexable","","https://unityverseacademy.com/urun/profesyonel-3b-modelleme-dijital-sanat-programi-online-1/","","","","","","",""
"https://unityverseacademy.com/kategori/mimarlik-egitimleri-ozel-ders-274/","1","Indexable","","https://unityverseacademy.com/kategori/mimarlik-egitimleri-ozel-ders-274/","","","","","","",""
"https://unityverseacademy.com/blog-detay/filiz-tumuklunun-yazilim-test-otomasyonu-egitimi-ve-kariyer-basarisi-90/","1","Indexable","","https://unityverseacademy.com/blog-detay/filiz-tumuklunun-yazilim-test-otomasyonu-egitimi-ve-kariyer-basarisi-90/","","","","","","",""
"https://unityverseacademy.com/kategori/dijital-pazarlama-egitimleri-255/","1","Indexable","","https://unityverseacademy.com/kategori/dijital-pazarlama-egitimleri-255/","","","","","","",""
"https://unityverseacademy.com/kategori/ozel-dersler-256/","1","Indexable","","https://unityverseacademy.com/kategori/ozel-dersler-256/","","","","","","",""
"https://unityverseacademy.com/urun/2b-cizgi-film-ve-animasyon-uzmanligi-canli-online-egitimi-565/","1","Indexable","","https://unityverseacademy.com/urun/2b-cizgi-film-ve-animasyon-uzmanligi-canli-online-egitimi-565/","","","","","","",""
"https://unityverseacademy.com/os/KARIYER-14/","1","Non-Indexable","Canonicalised","https://unityverseacademy.com/os/kariyer-is-14/","","","","","","",""
"https://unityverseacademy.com/blog-detay/burak-ercayanin-yazilim-test-otomasyonu-egitimi-ve-testiniumdaki-isi-88/","1","Indexable","","https://unityverseacademy.com/blog-detay/burak-ercayanin-yazilim-test-otomasyonu-egitimi-ve-testiniumdaki-isi-88/","","","","","","",""
"https://unityverseacademy.com/sayfa/kisisel-verilerin-korunmasi-hakkinda-aydinlatma-bildirimi-29/","1","Indexable","","https://unityverseacademy.com/sayfa/kisisel-verilerin-korunmasi-hakkinda-aydinlatma-bildirimi-29/","","","","","","",""
"https://unityverseacademy.com/blog-detay/elif-arslanin-yazilim-gelistirici-olarak-ayakkabi-dunyasindaki-baslangici-94/","1","Indexable","","https://unityverseacademy.com/blog-detay/elif-arslanin-yazilim-gelistirici-olarak-ayakkabi-dunyasindaki-baslangici-94/","","","","","","",""
"https://unityverseacademy.com/kategori/muhasebe-ve-ofis-egitimleri-258/","1","Indexable","","https://unityverseacademy.com/kategori/muhasebe-ve-ofis-egitimleri-258/","","","","","","",""
"https://unityverseacademy.com/blog-detay/oguzhan-durakin-grafik-tasarim-ve-video-kurgu-alanindaki-yolculugu-100/","1","Indexable","","https://unityverseacademy.com/blog-detay/oguzhan-durakin-grafik-tasarim-ve-video-kurgu-alanindaki-yolculugu-100/","","","","","","",""
"https://unityverseacademy.com/sayfa/mesafeli-satis-sozlesmesi-26/","1","Indexable","","https://unityverseacademy.com/sayfa/mesafeli-satis-sozlesmesi-26/","","","","","","",""
"https://unityverseacademy.com/urun/2b-oyun-karakter-tasarimi-ve-animasyon-canli-online-egitimi-553/","1","Indexable","","https://unityverseacademy.com/urun/2b-oyun-karakter-tasarimi-ve-animasyon-canli-online-egitimi-553/","","","","","","",""
