"Address","Status Code","Status","HTML Word Count","Rendered HTML Word Count","Word Count Change","JS Word Count %","HTML Title","Rendered HTML Title","HTML H1","Rendered HTML H1","HTML Meta Description","Rendered HTML Meta Description","HTML Canonical","Rendered HTML Canonical","Unique Inlinks","Unique JS Inlinks","Unique Outlinks","Unique JS Outlinks","Unique External Outlinks","Unique External JS Outlinks","HTML Meta Robots 1","Rendered HTML Meta Robots 1","Pretty URL","Ugly URL","JS Error","JS Warning","JS Info","JS Debug","JS Issue"
"https://unityverseacademy.com/","200","OK","2242","0","","","En İyi Staj Garantili Yazılım, Oyun ve Tasarım Kursları","","En çok tercih edilen eğitimler","","En iyi Staj garantili yazılım, oyun, uygulama geliştirme, grafik tasarım, siber güvenlik eğitimleri,  E-devlet ve uluslararası sertifikalarla meslek kursları","","https://unityverseacademy.com/","","174","0","76","0","7","0","","","https://unityverseacademy.com/","https://unityverseacademy.com/","","","","",""
"https://unityverseacademy.com/kategori/animasyon-egitimleri-248/","200","OK","630","0","","","Animasyon Eğitimleri","","Animasyon Eğitimleri","","Animasyon Eğitimleri","","https://unityverseacademy.com/kategori/animasyon-egitimleri-248/","","174","0","51","0","7","0","","","https://unityverseacademy.com/kategori/animasyon-egitimleri-248/","https://unityverseacademy.com/kategori/animasyon-egitimleri-248/","","","","",""
"https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi-584/","200","OK","2218","0","","","Autodesk Fusion 360 Endüstriyel Ürün Tasarımı Uzmanlığı Canlı (Online) Eğitimi","","Autodesk Fusion 360 Endüstriyel Ürün Tasarımı Uzmanlığı Canlı (Online) Eğitimi","","Autodesk Fusion 360 Endüstriyel Ürün Tasarımı Uzmanlığı Canlı (Online) Eğitimi, katılımcılara endüstriyel ürünlerin tasarımı, geliştirilmesi ve üretim aşamalarına uygun şekilde projeler oluşturma yeteneği kazandırır. Bu eğitimd","","https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi-584/","","4","0","47","0","12","0","","","https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi-584/","https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi-584/","","","","",""
"https://unityverseacademy.com/urun/desinatorluk-canli-online-egitimi-563/","200","OK","3297","0","","","Desinatörlük & Desen Tasarım Kursu | Online","","Desinatörlük & Tekstil Desen Tasarım Kursu – Online Canlı","","Desinatörlük ve tekstil desen tasarım canlı online kursu. Evinizden baskı desen ve kumaş tasarımı öğrenin!","","https://unityverseacademy.com/urun/desinatorluk-canli-online-egitimi-563/","","4","0","43","0","12","0","","","https://unityverseacademy.com/urun/desinatorluk-canli-online-egitimi-563/","https://unityverseacademy.com/urun/desinatorluk-canli-online-egitimi-563/","","","","",""
"https://unityverseacademy.com/sayfa/iptal-ve-iade-kosullari-28/","200","OK","535","0","","","İptal ve İade Koşulları","","İptal ve İade Koşulları","","İptal ve İade Koşulları","","https://unityverseacademy.com/sayfa/iptal-ve-iade-kosullari-28/","","174","0","40","0","7","0","","","https://unityverseacademy.com/sayfa/iptal-ve-iade-kosullari-28/","https://unityverseacademy.com/sayfa/iptal-ve-iade-kosullari-28/","","","","",""
"https://unityverseacademy.com/kategori/oyun-gelistirme-egitimleri-244/","200","OK","971","0","","","Oyun Geliştirme Eğitimleri","","Oyun Geliştirme Eğitimleri","","Oyun sektörü hızla büyüyor. Eğer sende bu büyümeye ayak uydurmak istiyorsan bizimle hemen iletişime geç.","","https://unityverseacademy.com/kategori/oyun-gelistirme-egitimleri-244/","","174","0","65","0","7","0","","","https://unityverseacademy.com/kategori/oyun-gelistirme-egitimleri-244/","https://unityverseacademy.com/kategori/oyun-gelistirme-egitimleri-244/","","","","",""
"https://unityverseacademy.com/sayfa/uyelik-sozlesmesi-ve-gizlilik-politikasi-27/","200","OK","4217","0","","","Üyelik Sözleşmesi ve Gizlilik Politikası","","Üyelik Sözleşmesi ve Gizlilik Politikası","","Üyelik Sözleşmesi ve Gizlilik Politikası","","https://unityverseacademy.com/sayfa/uyelik-sozlesmesi-ve-gizlilik-politikasi-27/","","174","0","40","0","8","0","","","https://unityverseacademy.com/sayfa/uyelik-sozlesmesi-ve-gizlilik-politikasi-27/","https://unityverseacademy.com/sayfa/uyelik-sozlesmesi-ve-gizlilik-politikasi-27/","","","","",""
"https://unityverseacademy.com/urun/unity-ile-oyun-gelistirme-canli-online-egitimi-staj-garantili-17/","200","OK","4528","0","","","Unity Oyun Geliştirme Kursu Online | Staj Garantili","","Unity ile Oyun Geliştirme Kursu – Online Canlı Eğitim (Staj Garantili)","","Staj garantili Unity oyun geliştirme online kursu. Canlı derslerle C# programlama ve Unity ile 2D/3D oyun geliştirmeyi öğrenin. Hemen kayıt olun!","","https://unityverseacademy.com/urun/unity-ile-oyun-gelistirme-canli-online-egitimi-staj-garantili-17/","","4","0","44","0","15","0","","","https://unityverseacademy.com/urun/unity-ile-oyun-gelistirme-canli-online-egitimi-staj-garantili-17/","https://unityverseacademy.com/urun/unity-ile-oyun-gelistirme-canli-online-egitimi-staj-garantili-17/","","","","",""
"https://unityverseacademy.com/kategori/mimarlik-egitimleri-259/","200","OK","859","0","","","Mimarlık Eğitimleri","","Mimarlık Eğitimleri","","Mimarlık Eğitimleri","","https://unityverseacademy.com/kategori/mimarlik-egitimleri-259/","","174","0","65","0","7","0","","","https://unityverseacademy.com/kategori/mimarlik-egitimleri-259/","https://unityverseacademy.com/kategori/mimarlik-egitimleri-259/","","","","",""
"https://unityverseacademy.com/sayfa/hakkimizda-25/","200","OK","926","0","","","Hakkımızda","","HAKKIMIZDA","","HAKKIMIZDA","","https://unityverseacademy.com/sayfa/hakkimizda-25/","","174","0","40","0","7","0","","","https://unityverseacademy.com/sayfa/hakkimizda-25/","https://unityverseacademy.com/sayfa/hakkimizda-25/","","","","",""
"https://unityverseacademy.com/blog-detay/suleyman-ozgonul-oyun-gelistiricilikte-zirveye-giden-yol-129/","200","OK","552","0","","","Süleyman Özgönül: Oyun Geliştiricilikte Zirveye Giden Yol","","Süleyman Özgönül: Oyun Geliştiricilikte Zirveye Giden Yol","","Süleyman Özgönül: Oyun Geliştiricilikte Zirveye Giden Yol","","https://unityverseacademy.com/blog-detay/suleyman-ozgonul-oyun-gelistiricilikte-zirveye-giden-yol-129/","","3","0","52","0","8","0","","","https://unityverseacademy.com/blog-detay/suleyman-ozgonul-oyun-gelistiricilikte-zirveye-giden-yol-129/","https://unityverseacademy.com/blog-detay/suleyman-ozgonul-oyun-gelistiricilikte-zirveye-giden-yol-129/","","","","",""
"https://unityverseacademy.com/urun/profesyonel-3b-modelleme-dijital-sanat-programi-online-1/","200","OK","2580","0","","","Profesyonel 3D Modelleme Kursu Online | 3D Artist","","Profesyonel 3D Modelleme & Dijital Sanat Kursu – Kapsamlı Online (3D Generalist Programı)","","Profesyonel 3D modelleme ve dijital sanat kapsamlı online programı. 3D generalist olarak sektöre hazırlanın!","","https://unityverseacademy.com/urun/profesyonel-3b-modelleme-dijital-sanat-programi-online-1/","","4","0","45","0","12","0","","","https://unityverseacademy.com/urun/profesyonel-3b-modelleme-dijital-sanat-programi-online-1/","https://unityverseacademy.com/urun/profesyonel-3b-modelleme-dijital-sanat-programi-online-1/","","","","",""
"https://unityverseacademy.com/kategori/mimarlik-egitimleri-ozel-ders-274/","200","OK","481","0","","","Mimarlık Eğitimleri Özel Ders","","Mimarlık Eğitimleri Özel Ders","","Mimarlık Eğitimleri Özel Ders, Özel Dersler","","https://unityverseacademy.com/kategori/mimarlik-egitimleri-ozel-ders-274/","","174","0","41","0","7","0","","","https://unityverseacademy.com/kategori/mimarlik-egitimleri-ozel-ders-274/","https://unityverseacademy.com/kategori/mimarlik-egitimleri-ozel-ders-274/","","","","",""
