"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi-584/","1","Autodesk Fusion 360 Endüstriyel Ürün Tasarımı Uzmanlığı Canlı (Online) Eğitimi","78","707","Indexable",""
"https://unityverseacademy.com/blog-detay/filiz-tumuklunun-yazilim-test-otomasyonu-egitimi-ve-kariyer-basarisi-90/","1","Filiz Tümüklü’nün Yazılım Test Otomasyonu Eğitimi ve Kariyer Başarısı","69","627","Indexable",""
"https://unityverseacademy.com/blog-detay/burak-ercayanin-yazilim-test-otomasyonu-egitimi-ve-testiniumdaki-isi-88/","1","Burak Erçayan’ın Yazılım Test Otomasyonu Eğitimi ve Testinium’daki İşi","70","634","Indexable",""
"https://unityverseacademy.com/blog-detay/elif-arslanin-yazilim-gelistirici-olarak-ayakkabi-dunyasindaki-baslangici-94/","1","Elif Arslan'ın Yazılım Geliştirici Olarak Ayakkabı Dünyası'ndaki Başlangıcı","75","639","Indexable",""
"https://unityverseacademy.com/blog-detay/oguzhan-durakin-grafik-tasarim-ve-video-kurgu-alanindaki-yolculugu-100/","1","Oğuzhan Durak'ın Grafik Tasarım ve Video Kurgu Alanındaki Yolculuğu","67","623","Indexable",""
"https://unityverseacademy.com/urun/2b-oyun-karakter-tasarimi-ve-animasyon-canli-online-egitimi-553/","1","2B Oyun Karakter Tasarımı ve Animasyon Canlı (Online) Eğitimi","61","562","Indexable",""
"https://unityverseacademy.com/blog-detay/gorkem-tekinin-vakif-katilimdaki-backend-developer-yolculugu-96/","1","Görkem Tekin'in Vakıf Katılım'daki Backend Developer Yolculuğu","62","572","Indexable",""
"https://unityverseacademy.com/blog-detay/begum-kiroglunun-grafik-tasarim-ve-video-kurgu-alanindaki-yolculugu-98/","1","Begüm Kıroğlu'nun Grafik Tasarım ve Video Kurgu Alanındaki Yolculuğu","68","635","Indexable",""
"https://unityverseacademy.com/blog-detay/suat-erizin-ayes-celikteki-yazilim-gelistirici-ve-kalite-kontrol-gorevi-97/","1","Suat Eriz'in AYES Çelik'teki Yazılım Geliştirici ve Kalite Kontrol Görevi","73","612","Indexable",""
"https://unityverseacademy.com/blog-detay/arda-bickinnin-yazilim-test-otomasyonu-egitimi-ve-testiniumdaki-staj-sureci-89/","1","Arda Biçkin’nin Yazılım Test Otomasyonu Eğitimi ve Testinium’daki Staj Süreci","77","695","Indexable",""
"https://unityverseacademy.com/blog-detay/osman-derebasinin-grafik-tasarim-ve-video-kurgu-alanindaki-yolculugu-101/","1","Osman Derebaşı'nın Grafik Tasarım ve Video Kurgu Alanındaki Yolculuğu","69","646","Indexable",""
"https://unityverseacademy.com/blog-detay/emre-gungorun-sps-senurdaki-robotic-system-developer-yolculugu-95/","1","Emre Güngör'ün SPS SENUR'daki Robotic System Developer Yolculuğu","64","622","Indexable",""
"https://unityverseacademy.com/blog/10/","1","ÇALIŞMA HAYATINA ATILAN MEZUNLARIMIZIN BAŞARI HİKAYELERİ","56","608","Indexable",""
"https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-yuz-yuze-ozel-ders-20-saat-1591/","1","Autodesk Fusion 360 Endüstriyel Ürün Tasarımı Uzmanlığı Yüz Yüze Özel Ders 20 saat","82","763","Indexable",""
"https://unityverseacademy.com/urun/mimarlik-ic-mimarlik-icin-3d-tasarim-ve-gorsellestirme-egitimi-online-1549/","1","Mimarlık & İç Mimarlık için 3D Tasarım ve Görselleştirme Eğitimi Online","71","634","Indexable",""
"https://unityverseacademy.com/urun/3ds-max-corona-ile-fotogercekci-mimari-gorsellestirmeegitimi-online-1614/","1","3ds Max + Corona ile Fotogerçekçi Mimari Görselleştirme Eğitimi Online","70","640","Indexable",""
