"Address","Occurrences","H1-1","H1-1 Length","Indexability","Indexability Status"
"https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-canli-online-egitimi-584/","1","Autodesk Fusion 360 Endüstriyel Ürün Tasarımı Uzmanlığı Canlı (Online) Eğitimi","78","Indexable",""
"https://unityverseacademy.com/urun/profesyonel-3b-modelleme-dijital-sanat-programi-online-1/","1","Profesyonel 3D Modelleme & Dijital Sanat Kursu – Kapsamlı Online (3D Generalist Programı)","89","Indexable",""
"https://unityverseacademy.com/blog-detay/elif-arslanin-yazilim-gelistirici-olarak-ayakkabi-dunyasindaki-baslangici-94/","1","Elif Arslan'ın Yazılım Geliştirici Olarak Ayakkabı Dünyası'ndaki Başlangıcı","75","Indexable",""
"https://unityverseacademy.com/urun/grafik-tasarim-ve-video-efekt-uzmanligi-canli-online-egitimi-staj-garantili-564/","1","Grafik Tasarım Kursu & Video Efekt Uzmanlığı – Online Canlı (Staj Garantili)","76","Indexable",""
"https://unityverseacademy.com/blog-detay/suat-erizin-ayes-celikteki-yazilim-gelistirici-ve-kalite-kontrol-gorevi-97/","1","Suat Eriz'in AYES Çelik'teki Yazılım Geliştirici ve Kalite Kontrol Görevi","73","Indexable",""
"https://unityverseacademy.com/urun/grafik-tasarim-ve-video-efekt-uzmanligi-yuz-yuze-egitimi-staj-garantili-613/","1","Grafik Tasarım Kursu & Video Efekt Uzmanlığı – Yüz Yüze (Staj Garantili)","72","Indexable",""
"https://unityverseacademy.com/urun/blender-3b-oyun-modelleme-canli-online-egitim-2/","1","Blender 3D Oyun Modelleme Kursu – Online Canlı (Karakter & Çevre Asset)","71","Indexable",""
"https://unityverseacademy.com/blog-detay/arda-bickinnin-yazilim-test-otomasyonu-egitimi-ve-testiniumdaki-staj-sureci-89/","1","Arda Biçkin’nin Yazılım Test Otomasyonu Eğitimi ve Testinium’daki Staj Süreci","77","Indexable",""
"https://unityverseacademy.com/urun/2026-python-bootcamp-sifirdan-python-canli-online-egitimi-8/","1","Python Bootcamp 2026 – Sıfırdan İleri Seviye Online Canlı (AI & Veri Bilimi)","76","Indexable",""
"https://unityverseacademy.com/urun/autodesk-fusion-360-endustriyel-urun-tasarimi-uzmanligi-yuz-yuze-ozel-ders-20-saat-1591/","1","Autodesk Fusion 360 Endüstriyel Ürün Tasarımı Uzmanlığı Yüz Yüze Özel Ders 20 saat","82","Indexable",""
"https://unityverseacademy.com/urun/mimarlik-ic-mimarlik-icin-3d-tasarim-ve-gorsellestirme-egitimi-online-1549/","1","Mimarlık & İç Mimarlık için 3D Tasarım ve Görselleştirme Eğitimi Online","71","Indexable",""
"https://unityverseacademy.com/urun/mimarlik-ic-mimarlik-icin-3d-tasarim-ve-gorsellestirme-egitimi-yuz-yuze-120-saat-1577/","1","Mimarlık & İç Mimarlık için 3D Tasarım ve Görselleştirme Eğitimi Yüz Yüze 120 Saat","82","Indexable",""
"https://unityverseacademy.com/urun/yapay-zeka-destekli-unity-ile-oyun-gelistirme-egitimi-online-1682/","1","Yapay Zeka (AI) Destekli Unity ile Oyun Geliştirme Kursu – Online Canlı","71","Indexable",""
"https://unityverseacademy.com/urun/unreal-engine-ile-oyun-gelistirme-150-saatlik-kapsamli-blueprintmufredati-online-1028/","1","Unreal Engine 5 Blueprint ile Kodsuz Oyun Geliştirme Kursu – 150 Saat Online","76","Indexable",""
"https://unityverseacademy.com/urun/flutter-ile-mobil-uygulama-gelistirme-canli-online-egitimi-557/","1","Flutter & Dart ile Cross-Platform Mobil Uygulama Geliştirme Kursu – Online","74","Indexable",""
